Index,Category,Review
1,bright,They seem to have more light.
2,bright,"The view wasn't the best but the window besides the bed was beautiful and let quite a lot of light in, which we loved."
3,clean,"We have made a few trips to Paris but this Hotel pleasantly surprised me with its amazing staffs, Immaculate facilities in the room, cleanliness."
4,clean,"The location is great and the staff were fantastic, creating a very friendly atmosphere in a clean, tidy and comfortable setting."
5,clean,"The reception staff were genial, helpful and informative; the breakfast staff welcomed us each morning with a smile and an array of food choices; and our room was kept perfectly clean."
6,clean,"Staff could not have been more helpful, hotel was lovely and clean, breakfast very good."
7,clean,"The room was compact, clean and with everything we needed."
8,clean,"My room (classic double room) was rather small and had no view but was clean, cosy and had everything I needed (even espresso machine)."
9,clean,"The accommodation was beautifully appointed, clean and comfortable."
10,clean,It is very clean and the staff are all so helpful and friendly.
11,clean,"This hotel is very clean, the staff is really nice and super helpfull."
12,clean,"And the rooms are really nice, new and clean."
13,clean,"Great position, staff was really friendly and helpful, rooms are clean and comfortable."
14,clean,"We had a superior room, on the 3rd floor which was very clean and spacious for a Paris room."
15,clean,Room was lovely and bright and clean.
16,clean,"Room was a good size with comfy bed and very clean as was the rest of the hotel, mini bar with free drinks was an excellent touch."
17,clean,Super clean and comfortable rooms.
18,clean,34b is spotlessly clean with friendly and helpful staff.
19,clean,The rooms were clean and modern.
20,clean,The rooms were very clean and the hotel provided free drinks in the mini-bar which was great.
21,clean,So clean and Tej couldn't do enough for us.
22,clean,The hotel is clean and welcoming.
23,clean,"The room itself was very clean and comfortable, with premium fixtures."
24,clean,Very clean but small rooms like most 3 star hotels in Paris.
25,clean,The rooms were clean and newly remodeled.
26,clean,Rooms are nice and clean and the restaurant is very good.
27,clean,Very clean and a good size with a great bathroom.
28,clean,"Service was very good, hotel was luxurious and clean and had an excellent restaurant, limited choice, but excellent."
29,clean,Well appointed rooms and very clean.
30,clean,"Room is very big , clean , nice and comfortable ."
31,clean,"Room is clean and comfortable, good location, hotel service and breakfast is nice also."
32,clean,A clean well maintained hotel in a great Parisian location.
33,clean,"The Hotel is clean, rooms are nice and there is free mini-bar (non-alcoholic) in the room, when coming back from a day in town."
34,clean,"We had a “twin superior” room, which was spacious and clean."
35,clean,"Our room was on the small side but had  everything we needed, good shower, tea, coffee etc, and was spotlessly clean."
36,clean,Bedrooms and bar were all very clean and staff were all very helpful and friendly.
37,clean,Room was full but clean.
38,clean,"The room was very modern, clean and spacious."
39,clean,"The room was bright, clean, and spacious and the rollout bed for my son was comfortable."
40,clean,Rooms are clean and tidy.
41,clean,Our room was clean and comfy.
42,clean,"Everything was very clean, well equipped and such a great area for exploring."
43,clean,The rooms are clean and the location is very central.
44,clean,"The rooms are not very big, but very clean, as is the bathroom."
45,clean,The rooms are clean and comfortable and the free mini bar with soft drinks is very welcome after a day on your feet.
46,clean,"A very cozy and clean hotel , basic room,  great location not super busy., all the easy access to many cafes and restaurant s to explore."
47,clean,"This has to be the cleanest hotel I've ever stayed in - and it is old, so this is no small feat."
48,clean,"But they were fully equipped, very clean, comfortable bed with nightlights."
49,clean,"The hotel is very well located, the accommodations are clean and in good standing."
50,clean,The room was nice and very clean and the bed was comfortable.
51,clean,Room was clean albeit a little bit small.
52,clean,It was very nicely equipped and clean.
53,clean,"The stuff is very friendly, all time available and very attentive (aux petits soins) and the hotel is so clean."
54,clean,The rooms were clean and comfortable and the staff were excellent.
55,clean,If you’re looking for a friendly and clean place to stay with a view stay here.
56,clean,The staff was pleasant and the room was always very clean.
57,clean,"We were delighted by the comfort, cleanliness and the overwhelming friendly staff."
58,clean,"The rooms were beautiful and they were VERY, VERY clean, which is the most important thing to me when I travel."
59,clean,"I'd recommend to anyone who is looking for a nice, clean hotel that's not right in the middle of all of the tourist traffic."
60,clean,I checked a number of reviews before I booked and many rated highly on the cleanliness which is a big thing for me.
61,clean,"I was not disappointed, very clean, modern bathrooms, comfortable bed."
62,clean,"very clean, perfect view, comfortable beds."
63,clean,"Nothing to complain when it comes to the room; clean, good air conditioning and the check in was super quick and easy."
64,clean,The hotel was spotlessly clean and the beds were very comfortable which was great after a long day walking all over Paris.
65,clean,The room was very small for the price albeit clean.
66,clean,"Lovely hotel, very nice room, very clean, very good breakfast and everything in walking distance."
67,clean,The hotel is very clean and all staff are friendly and approachable.
68,clean,"Excellent modern Hotel: Friendly and helpful staff, very clean."
69,clean,"The room was super clean, and had in addition to a regular king size bed a sofa that was truly a 1.8m bed where our son slept."
70,clean,Room was spacious and very clean.
71,clean,The rooms were clean and well stocked.
72,clean,"Hotel du Louvre is beautiful, clean and in the best location."
73,clean,"Rooms are beautiful, amazing views, so clean and comfortable."
74,clean,"We had a connecting family room, and the rooms were so well appointed, clean and they thought of all the details."
75,clean,"It was a fine stay, and I can recommend it for anyone that wants a clean and very comfortable room in an excellent location very close to Metro lines that can take you anywhere in the city in 15-20 minutes."
76,clean,"First the positives - nice clean rooms, friendly reception, lovely central courtyard which you can sit it (but nobody seems to)."
77,clean,"The rooms were fantastic, clean and the hotel was close to some great restaurants."
78,clean,"The hotel reception area is nice, everything including the room and bathroom was clean and tidy -the bathroom was small was great!"
79,clean,"The staff were friendly and helpful at check-in, my room was comfortable, clean and quiet and the breakfast was very good, but cost extra."
80,clean,"The hotel was clean and the staff were wonderfully friendly and helpful, especially since it was my wife’s first time in paris."
81,clean,"Our rooms were spotless and I was amazed that they were fully cleaned each day, including fresh towels -  far more than I was expecting."
82,clean,Very clean rooms.
83,clean,The room was basic but very clean and most importantly quiet.
84,clean,"Very friendly staff, nice and clean rooms, and fantastic value for Paris."
85,clean,Rooms are small but nice and clean.
86,clean,"The location was great - Metro station nearby, plenty of restaurants nearby and open late, room was clean (and serviced daily)."
87,clean,There is no hotel that was cleaner and safer than Hotel Darcet.
88,clean,The rooms are large and they get cleaned everyday.
89,clean,The room was small but very clean.
90,clean,"Our room, which also had a balcony, was extremely clean when we arrived and was kept clean throughout our staying."
91,clean,It is all clean and tidy and that is (for us) the most important thing.
92,clean,"The marble design on the wall behind the bed and in the shower, I’m so picky and very effected by the way a place looks and feels and the cleanliness… everything was immaculate."
93,clean,I felt at ease there with every surface clean with attention to detail.
94,clean,"Good location, clean and well maintained and decorated room and bathroom although quite small."
95,clean,"Rooms are tiny, but it’s quiet, modern, clean, and the area is wonderful."
96,clean,The showers were pretty clean.
97,clean,"I only stayed for one night and have nothing to complain about, the room was clean and set up very well, toilets and showers are easy to reach and right around every corner is something interesting to discover - would come again!"
98,clean,"The shared bunk rooms and bathrooms were incredibly clean, and the location is conveniently located a block or two from the Belleville Metro stop."
99,clean,The bed is very comfortable and bathrooms are so clean and good.
100,clean,The rooms are new and clean.
101,clean,"we were pleasantly surprised by democratic prices for such clean and well-maintained rooms (curtains for privacy, lots of sockets, storage space, lockers, AC) - same goes to shared bathrooms, they were pristine!"
102,clean,"The rooms were really clean, and there was plenty of locker space."
103,clean,The room was clean and the bathroom was very well equipped.
